Site,Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 0-2h,CRPS 2-5h,CRPS 5h+,PIT-KS 5h+,cov90 5h+,sharp 5h+,n
Redmere 2,WienerNet-SS (+residual),1.88 ± 0.05,2.05 ± 0.21,2.36 ± 0.21,0.920 ± 0.050,1.196 ± 0.163,1.528 ± 0.223,0.178 ± 0.069,0.961 ± 0.049,13.94 ± 3.98,5
Redmere 2,WienerNet-SS (predicted-k),1.77 ± 0.09,1.67 ± 0.09,1.52 ± 0.16,0.891 ± 0.049,1.100 ± 0.167,1.408 ± 0.348,0.342 ± 0.057,0.998 ± 0.004,14.97 ± 4.87,5
Redmere 2,WienerNet-SS (state-space),1.78 ± 0.10,1.74 ± 0.15,1.63 ± 0.25,0.866 ± 0.037,1.024 ± 0.094,1.184 ± 0.189,0.248 ± 0.056,0.987 ± 0.015,12.52 ± 3.25,5
Redmere 2,"WienerNet-SS (state-space, +residual)",1.81 ± 0.11,1.84 ± 0.12,1.82 ± 0.26,0.896 ± 0.031,1.098 ± 0.109,1.299 ± 0.211,0.254 ± 0.035,0.981 ± 0.023,12.84 ± 3.25,5
Redmere 2,"WienerNet-SS (state-space, predicted-k)",1.77 ± 0.10,1.68 ± 0.13,1.49 ± 0.20,0.840 ± 0.047,0.965 ± 0.108,1.117 ± 0.212,0.295 ± 0.053,0.996 ± 0.004,11.84 ± 2.55,5
Redmere 2,WienerNet-SS (ALD + sigma_struct band),1.86 ± 0.06,1.90 ± 0.17,1.96 ± 0.16,0.980 ± 0.044,1.169 ± 0.127,1.394 ± 0.242,0.297 ± 0.045,0.989 ± 0.012,14.33 ± 4.08,5
Redmere 2,"WienerNet-SS (given-diurnal, Wiener)",1.82 ± 0.00,1.75 ± 0.00,1.66 ± 0.00,0.877 ± 0.046,1.068 ± 0.144,1.261 ± 0.260,0.284 ± 0.043,0.989 ± 0.012,13.70 ± 4.02,5
Redmere 2,"WienerNet-SS (given-diurnal, state-sp)",1.82 ± 0.00,1.75 ± 0.00,1.66 ± 0.00,0.878 ± 0.053,1.044 ± 0.156,1.231 ± 0.261,0.305 ± 0.044,0.994 ± 0.004,13.16 ± 3.97,5
Redmere 2,Neural SDE (Gaussian),1.96 ± 0.09,2.46 ± 0.61,3.12 ± 1.32,1.029 ± 0.086,1.437 ± 0.265,1.753 ± 0.531,0.243 ± 0.057,0.969 ± 0.041,14.96 ± 2.29,5
Redmere 2,Neural SDE (Student-t),1.87 ± 0.04,1.95 ± 0.12,2.19 ± 0.46,0.900 ± 0.025,1.132 ± 0.078,1.362 ± 0.245,0.275 ± 0.042,0.982 ± 0.030,12.69 ± 1.75,5
