model,site,seed,hour_bin,n,rmse,mae,bias,crps,cov90,sharp90,pit_ks
predicted-k,woodwalton,0,21-24,4208,2.6835422061360923,1.6864803409772242,1.4869524875448612,1.5806367681800466,0.25570342205323193,0.5864595542776014,0.5718927643714943
predicted-k,woodwalton,1,21-24,4208,1.3417580879130362,0.7689067459233219,-0.4872462690928278,0.7176375824153222,0.09933460076045628,0.25833163084514826,0.657919380341076
predicted-k,woodwalton,42,21-24,4208,1.5738795463971793,0.9005300627185648,0.6008938065032429,0.7048676990041288,0.5929182509505704,1.489405732703854,0.2704184391823212
predicted-k,rosedene,0,21-24,5803,1.87786160621817,0.9905188871037544,-0.0991812819859272,0.8027951136472283,0.6379458900568672,1.6477596627223747,0.1439345985261976
predicted-k,rosedene,1,21-24,5803,1.8678107157920825,0.9822690945266959,0.04328826227497073,0.7697264575742409,0.7637428916077891,2.4570531128303825,0.03295922389068129
predicted-k,rosedene,42,21-24,5803,1.8749045619830202,0.9878478667334649,0.09027531525296999,0.7852226787514737,0.7592624504566603,2.5298813195441507,0.043498327085853494
predicted-k,redmere_1,0,21-24,991,1.7307984345602376,0.886853356978186,0.10058375629930034,0.7040782034743021,0.8133198789101918,2.970698248535268,0.02743003866481497
predicted-k,redmere_1,1,21-24,991,1.4217654105438575,0.8202870494106222,0.034947279085124176,0.6442881296712811,0.8234106962663976,3.167625399229851,0.03985872855701311
predicted-k,redmere_1,42,21-24,991,1.4395119557531992,0.8310894679154084,0.06316133388567163,0.6490467968968232,0.8607467204843592,3.6618174562049237,0.05444545463628098
predicted-k,redmere_2,0,21-24,1831,1.7869947800732557,0.9841558354983543,0.017502935850460758,0.822586429004917,0.7356635718186784,3.0279100445909566,0.08668908944417109
predicted-k,redmere_2,1,21-24,1831,1.786796494744247,0.984812361993921,0.07181831765390936,0.8065274997956945,0.7755324959038776,3.2888682870486816,0.07781010214620587
predicted-k,redmere_2,42,21-24,1831,1.7866748941142625,0.9857686751627412,0.06165769252242497,0.8238123785889921,0.8263244128891316,3.942337606156771,0.0913232502933527
predicted-k,great_fen,0,21-24,2035,2.1080833948395914,1.3029905726304805,0.03865631844766017,1.0262879231559496,0.7862407862407862,3.8836823532864546,0.030284379789330296
predicted-k,great_fen,1,21-24,2035,2.105098349925848,1.299849142309928,0.02796359307862617,1.0555513521175068,0.6864864864864865,3.3288251541820784,0.0700878195927701
predicted-k,great_fen,42,21-24,2035,2.1035713637970876,1.3008525143640632,0.018696675953027365,1.0302392263266817,0.6796068796068796,3.3057612698114305,0.07478288369377473
predicted-k,woodwalton,0,00-03,4247,2.773803997707606,1.8350646751335236,1.6755333231344962,1.729532242623266,0.20908876854250058,0.562275156288845,0.6325944697130416
predicted-k,woodwalton,1,00-03,4247,1.3074023816312383,0.7791352487972464,-0.5082637323160887,0.721726589735608,0.12196844831645867,0.2934373338739514,0.6657827190771821
predicted-k,woodwalton,42,00-03,4247,1.5214661969382477,0.9125482489834933,0.6558973644466464,0.7113238175936671,0.5724040499175889,1.5295839909434297,0.2933217856751533
predicted-k,rosedene,0,00-03,5665,1.877635478970793,0.963419059873127,-0.07210236498387325,0.784632041859533,0.6264783759929391,1.5782646019081057,0.13470152840526772
predicted-k,rosedene,1,00-03,5665,1.8752516403598725,0.9600652142741043,0.050390678481096095,0.7575494760678355,0.7622241835834069,2.469292838638489,0.030997177387641628
predicted-k,rosedene,42,00-03,5665,1.8779290316687178,0.9631777921821413,0.08722570604280572,0.7682981954552709,0.7694616063548102,2.590579822463059,0.04415247349977719
predicted-k,redmere_1,0,00-03,983,3.3516484834607616,1.1298164161810857,0.33586762391887265,0.9520226067423372,0.8229908443540183,3.1499773226500496,0.04196589547052365
